Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Road
Anton Forsberg, 27.181818181818183, 26.607692307692307, 26.2, 26.850746268656717
Josh Norris, 2.111111111111111, 2.1954887218045114, 2.5, 2.074626865671642
Claude Giroux, 2.6584158415841586, 2.5944700460829493, 2.888888888888889, 2.49165120593692
Derick Brassard, 1.804480651731161, 1.917412935323383, 1.8603351955307263, 1.9230769230769231
Nick Holden, 1.2233009708737863, 1.184782608695652, 1.121875, 1.1538461538461537
Travis Hamonic, 1.7936305732484077, 1.8291139240506329, 1.7230769230769232, 1.2941176470588236
Cam Talbot, 27.9875, 27.205741626794257, 26.794392523364486, 27.142857142857142
Austin Watson, 1.176595744680851, 1.165289256198347, 1.0714285714285714, 1.0555555555555556
Thomas Chabot, 2.4518716577540105, 2.0, 2.23728813559322, 2.1914893617021276
Mathieu Joseph, 0.8333333333333334, 1.1756272401433692, 1.2014388489208634, 1.8
Julien Gauthier, 1.143835616438356, 1.1830985915492958, 1.206896551724138, 1.25
Alex DeBrincat, 2.87816091954023, 3.0, 2.7714285714285714, 2.817351598173516
Jakob Chychrun, 2.3142857142857145, 2.376315789473684, 2.5714285714285716, 2.4712041884816753
Dylan Gambrell, 0.85, 0.7272727272727273, 0.9555555555555556, 0.8333333333333334
Erik Brannstrom, 1.2742857142857142, 1.5384615384615385, 1.0, 1.1797752808988764
Drake Batherson, 0.75, 2.2122641509433962, 2.409090909090909, 2.0588235294117645
Mark Kastelic, 0.8787878787878788, 1.0289855072463767, 3.0, 1.1428571428571428
Parker Kelly, 1.1111111111111112, 1.1134020618556701, 2.0, 1.4
Brady Tkachuk, 3.6666666666666665, 3.759259259259259, 3.6424418604651163, 3.633720930232558
Kevin Mandolese, 0, 34.0, 36.333333333333336
Mads Sogaard, 0, 24.25, 25.666666666666668, 23.833333333333332
Shane Pinto, 1.6428571428571428, 2.142857142857143, 1.0, 1.5476190476190477
Jake Sanderson, 1.564516129032258, 5.0, 1.2857142857142858, 1.75
Artem Zub, 0.963855421686747, 1.0, 0.8857142857142857
Patric Hornqvist, 3.3157894736842106, 3.0514541387024607, 3.130965593784684, 'NULL'
Givani Smith, 1.0841121495327102, 2.0, 'NULL', 1.1
Spencer Knight, 0, 25.45614035087719, 24.142857142857142, 25.857142857142858
Eric Staal, 2.98, 3.083682008368201, 'NULL', 2.9566517189835575
Marc Staal, 1.0148975791433892, 1.054327808471455, 'NULL', 1.0261780104712042
Radko Gudas, 1.5885885885885886, 1.6656671664167917, 'NULL', 1.6896551724137931
Sergei Bobrovsky, 0, 26.84433962264151, 27.45, 26.78737541528239
Nick Cousins, 1.5275590551181102, 1.4210526315789473, 'NULL', 1.5106382978723405
Anthony Duclair, 1.8949579831932772, 1.8362068965517242, 'NULL', 1.7341772151898733
Carter Verhaeghe, 2.0476190476190474, 2.284518828451883, 2.4594594594594597, 'NULL'
Aleksander Barkov, 2.6317411402157167, 2.609090909090909, 'NULL', 2.4049079754601226
Aaron Ekblad, 2.537704918032787, 2.366336633663366, 'NULL', 2.401315789473684
Sam Reinhart, 2.2737896494156926, 2.4123711340206184, 'NULL', 2.19
Sam Bennett, 1.8654545454545455, 2.1123388581952116, 2.036144578313253, 'NULL'
Brandon Montour, 2.0865603644646926, 2.125, 'NULL', 2.131818181818182
Colin White, 0.875784190715182, 0.965034965034965, 0.9646464646464646, 'NULL'
Ryan Lomberg, 1.4790419161676647, 1.3411764705882352, 'NULL', 1.3157894736842106
Matthew Tkachuk, 2.744, 2.806060606060606, 2.8333333333333335, 'NULL'
Josh Mahura, 1.0273972602739727, 1.0694444444444444, 'NULL', 1.0476190476190477
Casey Fitzgerald, 0.8709677419354839, 0.7, 'NULL', 1.0
Eetu Luostarinen, 1.2030456852791878, 'NULL', 1.1313131313131313, 1.1176470588235294
Anton Lundell, 1.75, 2.016260162601626, 2.103448275862069, 'NULL'
Jaroslav Halak, 25.838541666666668, 27.73076923076923, 25.60576923076923, 25.875862068965517
Patrick Kane, 3.0, 3.3307626392459295, 3.1938250428816466, 3.2797927461139897
Chris Kreider, 2.094488188976378, 2.2796610169491527, 2.4080779944289694, 2.4054054054054053
Vladimir Tarasenko, 3.339622641509434, 2.7142857142857144, 3.168181818181818, 3.0863095238095237
Vincent Trocheck, 2.545751633986928, 2.5787781350482315, 3.0, 2.278688524590164
Mika Zibanejad, 2.625, 3.25, 2.517426273458445, 2.489795918367347
Barclay Goodrow, 0.9230769230769231, 1.2222222222222223, 1.1638655462184875, 1.1566265060240963
Jacob Trouba, 1.8303571428571428, 2.2033132530120483, 2.3703703703703702, 2.1441176470588235
Jimmy Vesey, 0.6, 0.0, 1.0, 0.75
Tyler Motte, 1.5324675324675325, 1.5126582278481013, 1.528301886792453, 1.5
Ben Harpur, 0.8235294117647058, 1.0, 0.900990099009901, 0.9642857142857143
Igor Shesterkin, 27.318181818181817, 25.2, 27.66216216216216, 27.796875
Artemi Panarin, 2.5634782608695654, 2.44, 2.404040404040404, 2.394463667820069
Niko Mikkola, 0.9032258064516129, 1.0, 0.8589743589743589, 0.7586206896551724
Adam Fox, 1.8248175182481752, 1.9333333333333333, 1.744186046511628, 1.8
Ryan Lindgren, 1.043824701195219, 1.0, 1.2666666666666666, 1.2432432432432432
Filip Chytil, 1.955128205128205, 1.7926829268292683, 1.7868852459016393, 1.6666666666666667
K'Andre Miller, 0.9285714285714286, 1.2663316582914572, 1.1919191919191918, 1.0857142857142856
Kaapo Kakko, 1.5625, 1.5535714285714286, 1.5555555555555556, 1.7
Braden Schneider, 0.8532110091743119, 0.5, 0.7142857142857143, 1.1153846153846154
Alexis Lafrenière, 0.8571428571428571, 1.4577114427860696, 1.2323232323232323, 1.263157894736842
